613	夏
614	夕
615	外
616	多
617	夜
618	够
619	大
620	天
621	太
622	夫
623	央
624	失
625	头
626	夷
627	夸
628	夹
629	夺
630	奇
631	奈
632	奉
633	奋
634	奏
635	奔
636	奖
637	套
638	奠
639	奢
640	女
641	奶
642	她
643	好
644	如
645	妆
646	妇
647	妈
648	妒
649	妓
650	妙
651	妹
652	妻
653	始
654	姐
655	姑
656	姓
657	委
658	姗
659	姨
660	姿
661	娃
662	娇
663	娘
664	娱
665	婊
666	婚
667	婪
668	媚
669	媳
670	嫁
671	嫉
672	嫌
673	嫣
674	嫩
675	嬉
676	子
677	孔
678	孕
679	字
680	存
681	孙
682	季
683	孤
684	学
685	孩
686	孽
687	宁
688	它
689	宅
690	宇
691	守
692	安
693	完
694	宗
695	官
696	宙
697	定
698	宛
699	宜
700	宝
701	实
702	宠
703	审
704	客
705	宣
706	室
707	宫
708	害
709	宵
710	家
711	容
712	宽
713	宾
714	寂
715	寄
716	密
717	寒
718	寓
719	寝
720	寞
721	察
722	寡
723	寥
724	寸
725	对
726	寻
727	导
728	封
729	射
730	将
731	尊
732	小
733	少
734	尔
735	尖
736	尘
737	尚
738	尬
739	就
740	尴
741	尸
742	尺
743	尽
744	尾
745	局
746	屁
747	层
748	居
749	屈
750	屉
751	屋
752	屏
753	屑
754	展
755	属
756	山
757	岁
758	岔
759	岩
760	岸
761	峋
762	峙
763	峡
764	峭
765	崩
766	崭
767	嵌
768	嶙
769	川
770	工
771	左
772	巧
773	巨
774	差
775	己
776	已
777	巴
778	巾
779	币
780	市
781	布
782	帅
783	师
784	希
785	帕
786	帘
787	帚
788	帜
789	带
790	帧
791	席
792	帮
793	常
794	帽
795	幅
796	幕
797	干
798	平
799	年
800	并
801	幸
802	幻
803	幽
804	广
805	床
806	库
807	应
808	底
809	店
810	庞
811	废
812	度
813	座
814	庭
815	康
816	庸
817	廉
818	廊
819	廓
820	延
821	建
822	开
823	异
824	弃
825	弄
826	式
827	引
828	弟
829	张
830	弥
831	弦
832	弧
833	弯
834	弱
835	弹
836	强
837	归
838	当
839	录
840	形
841	彩
842	影
843	彻
844	彼
845	往
846	径
847	待
848	很
849	律
850	徒
851	得
852	循
853	微
854	德
855	心
856	必
857	忆
858	忌
859	忍
860	忐
861	忑
862	志
863	忘
864	忙
865	忪
866	快
867	念
868	怀
869	态
870	怆
871	怎
872	怏
873	怒
874	怕
875	怜
876	思
877	怠
878	急
879	性
880	怨
881	怪
882	怯
883	总
884	恋
885	恍
886	恐
887	恒
888	恢
889	恤
